annee,semaine,mois,date_debut,date_fin,categorie,prix,variation,unite,source
2023,21,,2023-05-22,2023-05-28,ENTREE ABATTOIR,6.94,-0.05,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,NON ELEVES AU PIS,6.91,-0.02,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,ELEVES AU PIS,9.19,0.06,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),690.7,-2.2,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),919.3,6.1,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,PRIX MOYEN PONDERE AUX 100 KG VIF,693.7,-5,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,744.3,-5.4,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S21.csv
2023,22,,2023-05-29,2023-06-04,ENTREE ABATTOIR,6.83,-0.11,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S22.csv
2023,22,,2023-05-29,2023-06-04,NON ELEVES AU PIS,6.82,-0.09,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S22.csv
2023,22,,2023-05-29,2023-06-04,ELEVES AU PIS,9.31,0.12,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S22.csv
2023,22,,2023-05-29,2023-06-04,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),681.5,-9.2,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S22.csv
2023,22,,2023-05-29,2023-06-04,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),931,11.7,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S22.csv
