annee,semaine,mois,date_debut,date_fin,type_racial,sexe,conformation,poids,marche,unite,prix,variation,source
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,45 a 50 kg,CHAB,EUR/tête,135,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,45 a 50 kg,CHAG,EUR/tête,140,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,45 a 50 kg,LEZA,EUR/tête,130,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,45 a 50 kg,MOYENNE NATIONALE,EUR/tête,133.47,7.93,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,< 45 kg,CHAB,EUR/tête,95,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,< 45 kg,CHAG,EUR/tête,100,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,< 45 kg,LEZA,EUR/tête,80,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Normands,Mâle,,< 45 kg,MOYENNE NATIONALE,EUR/tête,87.43,7.93,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,> 55 kg,AGEN,EUR/tête,155,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,> 55 kg,ARMO,EUR/tête,220,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,> 55 kg,BOUR,EUR/tête,175,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,> 55 kg,CHAB,EUR/tête,190,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,> 55 kg,CHAG,EUR/tête,200,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,> 55 kg,LAMB,EUR/tête,249,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,> 55 kg,LEZA,EUR/tête,180,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,> 55 kg,TALA,EUR/tête,160,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,> 55 kg,MOYENNE NATIONALE,EUR/tête,191.89,9.6,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,50 a 55 kg,AGEN,EUR/tête,120,,COT-VRO-veaux14j_9_marches-A25-S04.csv
2025,4,,2025-01-20,2025-01-26,Laitier,Mâle,,50 a 55 kg,ARMO,EUR/tête,210,,COT-VRO-veaux14j_9_marches-A25-S04.csv
