annee,semaine,mois,date_debut,date_fin,categorie,prix,variation,unite,source
2024,18,,2024-04-29,2024-05-05,P.M.P AGNEAUX,9.69,0.07,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S18.csv
2024,18,,2024-04-29,2024-05-05,MOYENNE AGNEAUX METROPOLE RUNGIS,11.72,-0.14,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S18.csv
2024,19,,2024-05-06,2024-05-12,P.M.P AGNEAUX,9.62,-0.07,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S19.csv
2024,19,,2024-05-06,2024-05-12,MOYENNE AGNEAUX METROPOLE RUNGIS,11.72,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S19.csv
2024,20,,2024-05-13,2024-05-19,P.M.P AGNEAUX,9.63,0.01,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S20.csv
2024,20,,2024-05-13,2024-05-19,MOYENNE AGNEAUX METROPOLE RUNGIS,11.63,-0.09,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S20.csv
2024,21,,2024-05-20,2024-05-26,P.M.P AGNEAUX,9.54,-0.09,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S21.csv
2024,21,,2024-05-20,2024-05-26,MOYENNE AGNEAUX METROPOLE RUNGIS,11.55,-0.08,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S21.csv
2024,22,,2024-05-27,2024-06-02,P.M.P AGNEAUX,9.5,-0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S22.csv
2024,22,,2024-05-27,2024-06-02,MOYENNE AGNEAUX METROPOLE RUNGIS,11.4,-0.15,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S22.csv
2024,23,,2024-06-03,2024-06-09,P.M.P AGNEAUX,9.48,-0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S23.csv
2024,23,,2024-06-03,2024-06-09,MOYENNE AGNEAUX METROPOLE RUNGIS,11.25,-0.15,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S23.csv
2024,24,,2024-06-10,2024-06-16,P.M.P AGNEAUX,9.51,0.03,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S24.csv
2024,24,,2024-06-10,2024-06-16,MOYENNE AGNEAUX METROPOLE RUNGIS,11.3,0.05,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S24.csv
2024,25,,2024-06-17,2024-06-23,P.M.P AGNEAUX,9.38,-0.13,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S25.csv
2024,25,,2024-06-17,2024-06-23,MOYENNE AGNEAUX METROPOLE RUNGIS,11.28,-0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S25.csv
2024,26,,2024-06-24,2024-06-30,P.M.P AGNEAUX,9.34,-0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S26.csv
2024,26,,2024-06-24,2024-06-30,MOYENNE AGNEAUX METROPOLE RUNGIS,10.91,-0.37,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S26.csv
2024,27,,2024-07-01,2024-07-07,P.M.P AGNEAUX,9.26,-0.08,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S27.csv
2024,27,,2024-07-01,2024-07-07,MOYENNE AGNEAUX METROPOLE RUNGIS,10.9,-0.01,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S27.csv
2024,28,,2024-07-08,2024-07-14,P.M.P AGNEAUX,9.28,0.02,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S28.csv
2024,28,,2024-07-08,2024-07-14,MOYENNE AGNEAUX METROPOLE RUNGIS,10.83,-0.07,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S28.csv
2024,29,,2024-07-15,2024-07-21,P.M.P AGNEAUX,9.2,-0.08,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S29.csv
2024,29,,2024-07-15,2024-07-21,MOYENNE AGNEAUX METROPOLE RUNGIS,10.83,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S29.csv
2024,30,,2024-07-22,2024-07-28,P.M.P AGNEAUX,9.2,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S30.csv
2024,30,,2024-07-22,2024-07-28,MOYENNE AGNEAUX METROPOLE RUNGIS,10.8,-0.03,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S30.csv
2024,31,,2024-07-29,2024-08-04,P.M.P AGNEAUX,9.13,-0.07,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S31.csv
2024,31,,2024-07-29,2024-08-04,MOYENNE AGNEAUX METROPOLE RUNGIS,10.65,-0.15,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S31.csv
2024,32,,2024-08-05,2024-08-11,P.M.P AGNEAUX,9.12,-0.01,EUR/kg carcasse,COT-VRO-ovins_PMP-A24-S32.csv
