annee,semaine,mois,date_debut,date_fin,marche,race,sexe,age_mois,classe,poids_kg,unite,prix,variation,source
2023,12,,2023-03-20,2023-03-26,LIMOGES,Limousins,Mâle,6/12,U,350,EUR/kg vif,3.73,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,LIMOGES,Limousins,Femelle,6/12,U,270,EUR/kg vif,3.26,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,LIMOGES,Limousins,Mâle,6/12,R,250,EUR/kg vif,3.41,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,LIMOGES,Limousins,Mâle,6/12,R,300,EUR/kg vif,3.41,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,LIMOGES,Limousins,Mâle,6/12,R,350,EUR/kg vif,3.44,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,LIMOGES,Limousins,Femelle,6/12,R,270,EUR/kg vif,3.01,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Croises,Mâle,6/12,U,300,EUR/kg vif,3.43,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Croises,Mâle,6/12,U,350,EUR/kg vif,3.42,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Croises,Mâle,6/12,U,400,EUR/kg vif,-0.02,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Croises,Femelle,6/12,U,320,EUR/kg vif,3.08,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Aubrac/Gascons,Mâle,6/12,U,300,EUR/kg vif,3.44,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Aubrac/Gascons,Mâle,6/12,U,350,EUR/kg vif,3.42,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Aubrac/Gascons,Mâle,6/12,U,400,EUR/kg vif,3.47,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Croises,Mâle,6/12,R,300,EUR/kg vif,3.25,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Croises,Mâle,6/12,R,350,EUR/kg vif,3.22,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Croises,Mâle,6/12,R,400,EUR/kg vif,3.25,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Croises,Femelle,6/12,R,320,EUR/kg vif,3.01,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Salers,Mâle,6/12,R,300,EUR/kg vif,2.94,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Salers,Mâle,6/12,R,350,EUR/kg vif,2.94,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Salers,Mâle,6/12,R,400,EUR/kg vif,2.94,,COT-VRO-GB_maigres-A23-S12.csv
2023,12,,2023-03-20,2023-03-26,CLERMONT-FERRAND,Aubrac/Gascons,Mâle,6/12,R,300,EUR/kg vif,3.24,,COT-VRO-GB_maigres-A23-S12.csv
