annee,semaine,mois,date_debut,date_fin,espece,etat_engraissement,conformation,zone,poids,unite,prix,variation,source
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),R,Zone Sud,19 a 22 kg,EUR/kg carcasse,8.01,-0.11,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),R,Moyennes Regions,13 a 16 kg,EUR/kg carcasse,8.41,-0.04,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),R,Moyennes Regions,16 a 19 kg,EUR/kg carcasse,8.39,-0.05,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),R,Moyennes Regions,19 a 22 kg,EUR/kg carcasse,8.18,-0.06,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),R,Moyennes Regions,+ de 22 kg,EUR/kg carcasse,7.66,-0.18,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),O,Zone Nord,13 a 16 kg,EUR/kg carcasse,8.13,0.01,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),O,Zone Nord,16 a 19 kg,EUR/kg carcasse,8.25,-0.02,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),O,Zone Nord,19 a 22 kg,EUR/kg carcasse,8.21,-0.12,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),O,Zone Nord,+ de 22 kg,EUR/kg carcasse,7.6,-0.07,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),O,Zone Sud,13 a 16 kg,EUR/kg carcasse,7.97,-0.12,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),O,Zone Sud,16 a 19 kg,EUR/kg carcasse,7.74,-0.17,COT-VRO-ovins_synthese-A23-S03.csv
2023,3,,2023-01-16,2023-01-22,Agneaux,3 (couvert),O,Zone Sud,19 a 22 kg,EUR/kg carcasse,7.53,-0.2,COT-VRO-ovins_synthese-A23-S03.csv
